พรบ. งบประมาณรายายประจำปีพ.ศ. 2550 - 2561,,,,,,,,,,,,
จำแนกตามส่วนราชการ,หน่วย:บาท,,,,,,,,,,,
กระทรวง/หน่วยงาน,y2550,y2551,y2552,y2553,y2554,y2555,y2556,y2557,y2558,y2559,y2560,y2561
รวมทุกหน่วยงาน,,,,,,,2398103751600,2522275861800,2573314648400,2717780415900,,3050000000000
1. งบกลาง,,,,,,,319864000000,343131000000,375708096400,402139412300,,420183248600
2. สำนักนายกรัฐมนตรี,,,,,,,25246817300,32160329400,33417573700,36761809100,,33874736400
3. กระทรวงกลาโหม,,,,,,,180491535700,183819972100,192949090200,207718946800,,220523650700
4. กระทรวงการคลัง,,,,,,,180707941600,228796658400,185852223000,199328807200,,238246894700
5. กระทรวงการต่างประเทศ,,,,,,,7875985600,8624006800,8567408200,8040694400,,8761528400
6. กระทรวงการท่องเที่ยวและกีฬา,,,,,,,11925956500,13807085400,7931825300,7622433700,,6729201600
7. กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,,,,,,,8552582100,7600519600,7826471300,8160102500,,13717537300
8. กระทรวงเกษตรและสหกรณ์,,,,,,,72882914000,76840910200,80999541600,88958229600,,122572843900
9. กระทรวงคมนาคม,,,,,,,95948723100,100577360100,110722533500,138886070800,,168767996400
10. กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,,,,,,30657787400,31487218200,30245420600,36420658700,,33716655400
11. กระทรวงเทคโนโลยีสารสนเทศและการสื่อสาร,,,,,,,7598809500,9457409900,5590585500,5253003400,,0
12. กระทรวงพลังงาน,,,,,,,1956623100,2058634300,1976098400,2045391300,,2221134400
13. กระทรวงพาณิชย์,,,,,,,7430322600,9171618300,7247154400,7403738800,,7332152400
14. กระทรวงมหาดไทย,,,,,,,308835033500,333145150100,340171626300,343707272300,,386179348900
15. กระทรวงยุติธรรม,,,,,,,19407630100,19735452800,22021499100,23665279200,,24480817700
16. กระทรวงแรงงาน,,,,,,,36525505500,30353226500,33638331800,33898515600,,51679733600
17. กระทรวงวัฒนธรรม,,,,,,,5957142700,6624676000,7047416200,7960894500,,8170450600
18. กระทรวงวิทยาศาสตร์และเทคโนโลยี,,,,,,,8830784900,8763589300,8896501900,9981747000,,14275382800
19. กระทรวงศึกษาธิการ,,,,,,,460411648800,482788585900,501326151700,520132166300,,507947728300
20. กระทรวงสาธารณสุข,,,,,,,99788227500,106102910200,109658255100,125145984500,,134894005300
21. กระทรวงอุตสาหกรรม,,,,,,,6341193200,6581197500,5856501900,6133888900,,5746781600
22. ส่วนราชการไม่สังกัดสำนักนายกรัฐมนตรี กระทรวง หรือทบวง,,,,,,,97298985400,101402834900,105419688100,120675672500,,125572253000
23 หน่วยงานของรัฐสภา,,,,,,,8553368400,9422374000,6613394300,4915438300,,6203350700
24. หน่วยงานของศาล,,,,,,,16445367100,16833260300,20022407600,20872951500,,21711957000
25. หน่วยงานอิสระของรัฐ,,,,,,,12614951500,14420112800,13387571400,14271788200,,16096087900
26. จังหวัดและกลุ่มจังหวัด,,,,,,,18090221000,18170000000,17782243800,25199680700,,31765371000
27. รัฐวิสาหกิจ,,,,,,,129041556100,149832311400,147569261900,144914574600,,154650761200
28. สภากาชาดไทย,,,,,,,4359463800,5110829700,5981345300,5554091200,,8333269600
29. กองทุนและเงินทุนหมุนเวียน,,,,,,,214462673600,152032949400,136923089700,148475068000,,215235716000
30. รายจ่ายเพื่อชดใช้เงินคลัง,,,,,,,,13423678300,41965340200,13536104000,,49641923000
31. กระทรวงดิจิทัล เพื่อเศรษฐกิจและสังคม,,,,,,,,,,,,6571158100
32. ส่วนราชการในพระองค,,,,,,,,,,,,4196323500
checksum,,,,,,,0,0,0,0,,3050000000000
